shape	M	N	K	policy	rep	layout	tflops	avg_ms	build_md5
70B_QO_4kx8kx8k	4096	8192	8192	0	1	RCR	2902.15	0.1894	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	1	RRR	2889.95	0.1902	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	1	CRR	2694.29	0.2040	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	2	RCR	2905.69	0.1892	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	2	RRR	2890.24	0.1902	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	2	CRR	2689.80	0.2044	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	3	RCR	2897.41	0.1897	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	3	RRR	2885.81	0.1905	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	3	CRR	2698.83	0.2037	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	1	1	RCR	2895.90	0.1898	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	1	RRR	2883.18	0.1907	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	1	CRR	2694.08	0.2041	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	2	RCR	2895.22	0.1899	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	2	RRR	2894.18	0.1900	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	2	CRR	2690.65	0.2043	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	3	RCR	2901.52	0.1895	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	3	RRR	2883.22	0.1907	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	3	CRR	2691.56	0.2043	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	2	1	RCR	2824.38	0.1946	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	1	RRR	2811.88	0.1955	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	1	CRR	2645.55	0.2078	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	2	RCR	2824.00	0.1947	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	2	RRR	2808.65	0.1957	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	2	CRR	2642.82	0.2080	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	3	RCR	2833.75	0.1940	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	3	RRR	2820.86	0.1949	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	3	CRR	2640.14	0.2082	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	3	1	RCR	2824.30	0.1947	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	1	RRR	2812.01	0.1955	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	1	CRR	2648.34	0.2076	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	2	RCR	2823.33	0.1947	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	2	RRR	2812.49	0.1955	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	2	CRR	2647.67	0.2076	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	3	RCR	2823.91	0.1947	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	3	RRR	2822.34	0.1948	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	3	CRR	2645.65	0.2078	fbe192fd8fb1be16047e36b767b66c29
70B_GateUp_4kx28kx8k	4096	28672	8192	0	1	RCR	2845.29	0.6763	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	1	RRR	2782.78	0.6914	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	1	CRR	2508.30	0.7671	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	2	RCR	2839.55	0.6776	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	2	RRR	2786.31	0.6906	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	2	CRR	2502.54	0.7689	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	3	RCR	2846.14	0.6761	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	3	RRR	2783.07	0.6914	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	3	CRR	2497.21	0.7705	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	1	1	RCR	2842.23	0.6770	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	1	RRR	2793.21	0.6889	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	1	CRR	2507.48	0.7674	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	2	RCR	2843.46	0.6767	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	2	RRR	2795.03	0.6884	a5a7bed33b264b4a31741b71c7957983
